freq,purchase,unit,geo\TIME_PERIOD	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 	2018 	2019 
A,TOTAL,INX_A_AVG,BE	91.92 	95.61 	97.75 	98.90 	98.35 	100.00 	102.64 	106.37 	109.42 	113.78 
A,TOTAL,INX_A_AVG,BG	105.81 	99.98 	98.07 	95.92 	97.29 	100.00 b	107.02 	116.30 	123.96 	131.42 p
A,TOTAL,INX_A_AVG,CY	112.90 	111.09 	107.70 	103.29 	101.47 	100.00 	100.27 	102.52 	104.32 	108.20 
A,TOTAL,INX_A_AVG,CZ	95.20 	95.30 	93.90 	93.90 	96.20 	100.00 	107.20 	119.70 	130.00 	141.90 
A,TOTAL,INX_A_AVG,DE	83.90 	86.80 	89.80 	92.60 	95.50 	100.00 	107.50 	114.10 	121.70 	128.70 
A,TOTAL,INX_A_AVG,DK	90.66 	89.12 	86.71 	90.09 	93.49 	100.00 	105.22 	110.00 	114.81 	117.51 
A,TOTAL,INX_A_AVG,EA	101.48 	102.58 	100.37 	98.28 	98.46 	100.00 	104.02 	108.52 	113.66 	118.59 
A,TOTAL,INX_A_AVG,EA19	101.31 	102.46 	100.28 	98.23 	98.46 	100.00 	104.02 	108.52 	113.66 	118.59 
A,TOTAL,INX_A_AVG,EE	63.90 	69.32 	74.37 	82.29 	93.58 	100.00 	104.75 	110.51 	117.07 	125.27 
A,TOTAL,INX_A_AVG,ES	134.55 	124.27 	105.90 	96.24 	96.54 	100.00 	104.62 	111.10 	118.58 	124.71 
A,TOTAL,INX_A_AVG,EU	98.45 	98.76 	96.94 	95.77 	97.34 	100.00 	104.67 	109.59 	114.78 	119.71 
A,TOTAL,INX_A_AVG,EU27_2020	100.62 	101.23 	99.02 	97.22 	97.84 	100.00 	104.30 	109.22 	114.64 	120.17 
A,TOTAL,INX_A_AVG,EU28	98.44 	98.76 	96.94 	95.75 	97.34 	100.00 	104.67 	109.59 	114.78 	119.71 
A,TOTAL,INX_A_AVG,FI	93.88 	96.87 	99.21 	100.35 	100.00 	100.00 b	100.81 	102.38 	103.44 	104.49 
A,TOTAL,INX_A_AVG,FR	99.91 	105.71 	105.13 	103.13 	101.49 	100.00 	101.01 	104.16 	107.24 	110.78 
A,TOTAL,INX_A_AVG,HR	110.47 	110.66 	108.93 	104.63 	102.98 	100.00 	100.89 	104.75 	111.14 	121.10 
A,TOTAL,INX_A_AVG,HU	93.66 	90.45 	87.10 	84.87 	88.43 	100.00 	113.38 	127.24 	145.50 	170.17 
A,TOTAL,INX_A_AVG,IE	105.96 	87.86 	76.04 	76.99 	89.72 	100.00 	107.46 	119.14 	131.33 	134.41 
A,TOTAL,INX_A_AVG,IS	72.02 	75.36 	80.57 	85.21 	92.39 	100.00 	109.77 	131.20 	142.01 	148.30 
A,TOTAL,INX_A_AVG,IT	118.10 	119.70 	116.70 	109.10 	104.00 	100.00 	100.30 	99.20 	98.60 	98.50 
A,TOTAL,INX_A_AVG,LT	84.20 	89.77 	89.56 	90.65 	96.47 	100.00 	105.40 	114.80 	123.18 	131.61 
A,TOTAL,INX_A_AVG,LU	80.14 	83.09 	86.58 	90.89 	94.88 	100.00 	106.01 	111.96 	119.86 	131.99 
A,TOTAL,INX_A_AVG,LV	80.35 	88.73 	91.36 	97.62 	103.48 	100.00 	108.49 	118.01 	129.30 	140.88 
A,TOTAL,INX_A_AVG,MT	91.04 	89.80 	92.54 	92.16 	94.51 	100.00 	105.45 	111.03 	117.45 	124.65 p
A,TOTAL,INX_A_AVG,NL	111.40 	109.19 	101.86 	95.75 	96.53 	100.00 	105.02 	112.93 	123.61 	132.62 
A,TOTAL,INX_A_AVG,NO	75.77 	81.95 	87.48 	91.24 	93.74 	100.00 	107.88 	113.75 	115.53 	120.18 
A,TOTAL,INX_A_AVG,PL	105.61 	105.70 	102.01 	97.54 	98.50 	100.00 	101.86 	105.78 	112.74 	122.52 
A,TOTAL,INX_A_AVG,PT	107.36 	102.09 	94.87 	93.09 	97.04 	100.00 	107.12 	117.02 	129.03 	141.46 
A,TOTAL,INX_A_AVG,RO	119.54 	104.83 	99.51 	99.26 	97.22 	100.00 	105.95 	112.36 	118.62 	122.69 
A,TOTAL,INX_A_AVG,SE	73.97 	75.87 	76.83 	80.79 	88.40 	100.00 	108.24 	115.43 	114.35 	117.19 
A,TOTAL,INX_A_AVG,SI	117.21 	120.39 	112.09 	106.21 	99.20 	100.00 	103.25 	111.79 	121.55 	129.69 
A,TOTAL,INX_A_AVG,SK	96.78 	95.33 	92.75 	93.59 	94.91 	100.00 	106.70 	112.99 	121.32 	132.39 
A,TOTAL,INX_A_AVG,TR	58.11 d	62.14 d	68.03 d	75.79 d	86.11 d	100.00 d	113.27 d	124.83 d	133.40 d	140.64 d
A,TOTAL,INX_A_AVG,UK	86.15 	84.88 	85.20 	87.39 	94.40 	100.00 	106.99 	111.86 	115.53 	116.67 
A,TOTAL,RCH_A_AVG,AT	: 	6.3 	7.3 	5.2 	3.5 	4.9 	8.5 	5.3 	4.7 	5.8 
A,TOTAL,RCH_A_AVG,BE	3.1 	4.0 	2.2 	1.2 	-0.6 	1.7 	2.6 	3.6 	2.9 	4.0 
A,TOTAL,RCH_A_AVG,BG	-10.2 e	-5.5 	-1.9 	-2.2 	1.4 	2.8 b	7.0 	8.7 	6.6 	6.0 p
A,TOTAL,RCH_A_AVG,CY	-5.7 	-1.6 	-3.1 	-4.1 	-1.8 	-1.5 	0.3 	2.2 	1.8 	3.7 
A,TOTAL,RCH_A_AVG,CZ	-1.8 	0.0 	-1.5 	0.0 	2.5 	4.0 	7.2 	11.7 	8.6 	9.2 
A,TOTAL,RCH_A_AVG,DE	1.0 	3.5 	3.4 	3.1 	3.1 	4.7 	7.5 	6.1 	6.6 	5.8 
A,TOTAL,RCH_A_AVG,DK	2.8 	-1.7 	-2.7 	3.9 	3.8 	7.0 	5.2 	4.5 	4.4 	2.3 
A,TOTAL,RCH_A_AVG,EA	1.0 	1.1 	-2.2 	-2.1 	0.2 	1.6 	4.0 	4.3 	4.7 	4.3 
A,TOTAL,RCH_A_AVG,EA19	0.9 	1.1 	-2.1 	-2.0 	0.2 	1.6 	4.0 	4.3 	4.7 	4.3 
A,TOTAL,RCH_A_AVG,EE	5.7 	8.5 	7.3 	10.7 	13.7 	6.9 	4.7 	5.5 	5.9 	7.0 
A,TOTAL,RCH_A_AVG,ES	-1.8 	-7.6 	-14.8 	-9.1 	0.3 	3.6 	4.6 	6.2 	6.7 	5.2 
A,TOTAL,RCH_A_AVG,EU	1.2 	0.3 	-1.8 	-1.2 	1.6 	2.7 	4.7 	4.7 	4.7 	4.3 
A,TOTAL,RCH_A_AVG,EU27_2020	0.5 	0.6 	-2.2 	-1.8 	0.6 	2.2 	4.3 	4.7 	5.0 	4.8 
A,TOTAL,RCH_A_AVG,EU28	1.2 	0.3 	-1.8 	-1.2 	1.7 	2.7 	4.7 	4.7 	4.7 	4.3 
A,TOTAL,RCH_A_AVG,FI	6.3 	3.2 	2.4 	1.2 	-0.4 	0.0 b	0.8 	1.6 	1.0 	1.0 
A,TOTAL,RCH_A_AVG,FR	4.8 	5.8 	-0.5 	-1.9 	-1.6 	-1.5 	1.0 	3.1 	3.0 	3.3 
A,TOTAL,RCH_A_AVG,HR	-6.3 	0.2 	-1.6 	-3.9 	-1.6 	-2.9 	0.9 	3.8 	6.1 	9.0 
A,TOTAL,RCH_A_AVG,HU	-2.4 	-3.4 	-3.7 	-2.6 	4.2 	13.1 	13.4 	12.2 	14.3 	17.0 
A,TOTAL,RCH_A_AVG,IE	-13.5 	-17.1 	-13.5 	1.2 	16.5 	11.5 	7.5 	10.9 	10.2 	2.3 
A,TOTAL,RCH_A_AVG,IS	-3.0 	4.6 	6.9 	5.8 	8.4 	8.2 	9.8 	19.5 	8.2 	4.4 
A,TOTAL,RCH_A_AVG,IT	: 	1.4 	-2.5 	-6.5 	-4.7 	-3.8 	0.2 	-1.1 	-0.6 	-0.1 
A,TOTAL,RCH_A_AVG,LT	-7.4 	6.6 	-0.2 	1.2 	6.4 	3.7 	5.4 	8.9 	7.3 	6.8 
