"Purchase price for one- and two-dwelling buildings, average in 1 000 SEK by region, type of real estate and year"

"region";"type of real estate";"1981";"1982";"1983";"1984";"1985";"1986";"1987";"1988";"1989";"1990";"1991";"1992";"1993";"1994";"1995";"1996";"1997";"1998";"1999";"2000";"2001";"2002";"2003";"2004";"2005";"2006";"2007";"2008";"2009";"2010";"2011";"2012";"2013";"2014";"2015";"2016";"2017";"2018";"2019"
"0617 Gnosjö";"permanent dwelling (no site leasehold rights)";266;265;250;282;281;292;343;366;380;426;447;507;426;494;445;451;541;489;567;595;748;679;670;740;736;801;967;828;908;870;891;882;904;929;1044;1145;1182;1130;1152
"0642 Mullsjö";"permanent dwelling (no site leasehold rights)";276;323;298;305;268;263;278;334;386;445;392;392;356;419;405;412;424;434;442;495;455;519;519;560;618;693;775;815;884;957;921;980;973;1089;1154;1217;1614;1645;1592
"0643 Habo";"permanent dwelling (no site leasehold rights)";271;324;250;271;279;295;331;371;449;514;531;492;487;487;449;493;527;570;623;607;738;785;916;1014;1141;1272;1268;1507;1536;1813;1701;1852;1891;2000;2097;2286;2616;2709;2816
"0662 Gislaved";"permanent dwelling (no site leasehold rights)";241;243;252;239;253;269;298;330;377;451;471;469;436;486;484;460;511;590;601;636;743;735;763;836;860;855;887;978;875;1002;1001;1042;992;969;1085;1116;1166;1210;1308
"0665 Vaggeryd";"permanent dwelling (no site leasehold rights)";226;239;225;215;232;237;241;286;338;397;434;422;365;380;388;417;415;476;538;565;585;608;625;677;754;796;903;1020;970;980;1064;1062;1117;1244;1312;1530;1762;1709;1850
"0680 Jönköping";"permanent dwelling (no site leasehold rights)";364;350;344;346;363;377;413;475;581;690;731;683;623;660;652;696;758;799;881;938;1039;1151;1272;1450;1518;1657;1832;1909;2083;2214;2283;2215;2425;2519;2822;3064;3515;3487;3484
"0682 Nässjö";"permanent dwelling (no site leasehold rights)";282;279;246;268;275;274;302;318;372;398;444;433;420;434;421;451;476;497;519;511;541;594;597;638;740;799;821;870;926;975;907;907;1014;1064;1143;1172;1338;1464;1579
"0683 Värnamo";"permanent dwelling (no site leasehold rights)";299;303;295;289;307;319;358;398;456;526;597;528;512;537;540;564;589;643;659;778;810;812;894;992;1063;1134;1221;1404;1392;1454;1498;1404;1438;1444;1642;1794;1919;2186;2108
"0684 Sävsjö";"permanent dwelling (no site leasehold rights)";257;239;225;221;227;233;241;274;325;331;366;350;292;365;362;378;364;408;418;366;412;376;432;414;450;446;500;599;593;587;644;556;667;726;778;870;1027;1063;1202
"0685 Vetlanda";"permanent dwelling (no site leasehold rights)";255;231;243;293;248;252;283;329;355;400;464;421;387;387;380;383;433;436;476;499;519;516;551;605;613;742;774;775;903;885;888;959;1004;992;1131;1238;1383;1484;1326
